employee,last_name,first_name,classification,id,journey,mon,tue,wed,thu,fri,sat,sun,st_hours,ot_hours,st_rate,ot_rate,fringe,cash_lieu,gross,gross_all,fica,federal,other,total_deductions,net
SAMPLE Worker One,SAMPLE,One,SAMPLE Laborer,0001,J,8,8,8,8,8,0,0,40,0,20.00,30.00,4.00,0.00,800.00,800.00,61.20,80.00,0.00,141.20,658.80
SAMPLE Worker Two,SAMPLE,Two,SAMPLE Operator,0002,J,8,8,8,8,0,0,0,32,8,25.00,37.50,4.00,0.00,1100.00,1100.00,84.15,110.00,0.00,194.15,905.85
SAMPLE Worker Three,SAMPLE,Three,SAMPLE Apprentice,0003,RA,8,8,8,8,4,0,0,36,0,15.00,22.50,2.00,0.00,540.00,540.00,41.31,54.00,0.00,95.31,444.69
SAMPLE Worker Four,SAMPLE,Four,SAMPLE Laborer,0004,J,,,,,, , ,40,0,20.00,30.00,4.00,0.00,800.00,800.00,61.20,80.00,0.00,141.20,658.80
SAMPLE Worker Five,SAMPLE,Five,SAMPLE Carpenter,0005,J,8,8,8,8,8,0,0,40,2,28.00,42.00,5.00,0.00,1204.00,1204.00,92.11,120.00,0.00,212.11,991.89
SAMPLE Worker Six,SAMPLE,Six,SAMPLE Laborer,0006,J,8,8,8,8,8,0,0,40,0,20.00,30.00,4.00,20.00,800.00,800.00,61.20,80.00,10.00,151.20,648.80
SAMPLE Worker Seven,SAMPLE,Seven,SAMPLE Operator,0007,J,8,8,8,0,0,0,0,24,0,25.00,37.50,4.00,0.00,600.00,900.00,68.85,90.00,0.00,158.85,741.15
SAMPLE Worker Eight,SAMPLE,Eight,SAMPLE Laborer,0008,J,8,8,8,8,8,0,0,40,0,20.00,30.00,4.00,0.00,800.00,800.00,61.20,80.00,0.00,141.20,658.80
SAMPLE Worker Nine,SAMPLE,Nine,SAMPLE Laborer,0009,J,8,8,8,8,8,0,0,40,0,20.00,30.00,4.00,0.00,800.00,800.00,61.20,80.00,0.00,141.20,658.80
SAMPLE Worker Ten,SAMPLE,Ten,SAMPLE Foreman,0010,J,8,8,8,8,8,0,0,40,0,32.00,48.00,6.00,0.00,1280.00,1280.00,97.92,128.00,0.00,225.92,1054.08
